Нулевые терминалы:
Terminal: 18
Terminal: 32
Terminal: 39
Terminal: 42
Terminal: 55
Terminal: 1
Terminal: 64
Terminal: 21
Terminal: 163
Terminal: 77
Terminal: 79
Terminal: 82
Terminal: 91
Terminal: 116
Terminal: 119
Terminal: 120
Terminal: 121
Terminal: 123
Terminal: 126
Terminal: 127
Terminal: 139
Terminal: 142
Terminal: 158
Terminal: 159
Terminal: 161
Terminal: 162
